created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 10:23:25 UTC,79,3.9,7.25,331.36,24.5,1005.925
2017-06-30 10:23:45 UTC,80,2.9,6.25,334.24,24.5,1005.932
2017-06-30 10:24:05 UTC,81,1.68,5.299999,330.4,24.5,1005.905
2017-06-30 10:24:26 UTC,82,3.9,7.25,334.56,24.4375,1005.87
2017-06-30 10:24:46 UTC,83,2.9,7.25,327.84,24.5,1005.888
2017-06-30 10:25:06 UTC,84,2.9,6.25,330.72,24.5,1005.923
2017-06-30 10:25:26 UTC,85,3.9,7.25,331.68,24.5,1005.917
2017-06-30 10:25:46 UTC,86,1.68,5.299999,331.04,24.5,1005.957
2017-06-30 10:26:06 UTC,87,3.9,7.25,327.84,24.5,1005.907
2017-06-30 10:26:26 UTC,88,3.9,8.25,333.28,24.5,1005.895
2017-06-30 10:26:46 UTC,89,3.9,7.25,328.8,24.5,1005.87
2017-06-30 10:27:06 UTC,90,2.9,6.25,331.04,24.5,1005.83
2017-06-30 10:27:26 UTC,91,3.9,7.25,333.28,24.5,1005.84
2017-06-30 10:27:46 UTC,92,1.68,5.299999,331.68,24.5,1005.85
2017-06-30 10:28:06 UTC,93,3.9,7.25,334.88,24.5,1005.83
2017-06-30 10:28:26 UTC,94,3.9,7.25,328.16,24.5,1005.83
2017-06-30 10:28:46 UTC,95,1.68,5.299999,329.44,24.5625,1005.865
2017-06-30 10:29:06 UTC,96,3.9,7.25,335.2,24.5625,1005.857
2017-06-30 10:29:26 UTC,97,3.9,7.25,334.56,24.5625,1005.872
2017-06-30 10:29:46 UTC,98,2.9,7.25,329.44,24.5625,1005.833
2017-06-30 10:30:06 UTC,99,2.9,7.25,330.4,24.5625,1005.798
2017-06-30 10:30:26 UTC,100,3.9,7.25,333.28,24.5625,1005.813
2017-06-30 10:30:46 UTC,101,2.9,6.25,332.32,24.5625,1005.83
2017-06-30 10:31:06 UTC,102,1.68,5.299999,332.96,24.5625,1005.89
2017-06-30 10:31:26 UTC,103,3.9,7.25,327.84,24.5625,1005.865
2017-06-30 10:31:47 UTC,104,1.68,4.299999,326.56,24.5625,1005.828
2017-06-30 10:32:07 UTC,105,3.9,7.25,327.52,24.5,1005.833
2017-06-30 10:32:27 UTC,106,3.9,7.25,333.28,24.5,1005.883
2017-06-30 10:32:47 UTC,107,2.9,7.25,330.72,24.5,1005.87
2017-06-30 10:33:07 UTC,108,2.9,6.25,327.84,24.5,1005.825
2017-06-30 10:33:27 UTC,109,3.9,7.25,330.72,24.5,1005.867
2017-06-30 10:33:47 UTC,110,2.9,7.25,328.16,24.5,1005.862
2017-06-30 10:34:07 UTC,111,3.9,7.25,330.08,24.5,1005.893
2017-06-30 10:34:27 UTC,112,3.9,7.25,333.92,24.5,1005.855
2017-06-30 10:34:47 UTC,113,2.9,6.25,321.76,24.5,1005.825
2017-06-30 10:35:07 UTC,114,2.9,7.25,335.2,24.5,1005.83
2017-06-30 10:35:27 UTC,115,3.9,7.25,335.52,24.5,1005.838
2017-06-30 10:35:47 UTC,116,3.9,7.25,337.12,24.5,1005.875
2017-06-30 10:36:07 UTC,117,2.9,7.25,330.72,24.4375,1005.88
2017-06-30 10:36:27 UTC,118,1.68,5.299999,337.12,24.5,1005.89
2017-06-30 10:36:47 UTC,119,3.9,7.25,336.16,24.5,1005.828
2017-06-30 10:37:08 UTC,120,1.68,5.299999,337.76,24.5,1005.88
2017-06-30 10:37:27 UTC,121,2.9,7.25,334.88,24.4375,1005.895
2017-06-30 10:37:47 UTC,122,1.68,5.299999,334.88,24.375,1005.9
2017-06-30 10:38:08 UTC,123,3.9,7.25,335.52,24.375,1005.86
2017-06-30 10:38:27 UTC,124,1.68,5.299999,337.44,24.375,1005.895
2017-06-30 10:38:47 UTC,125,3.9,7.25,330.72,24.375,1005.872
2017-06-30 10:39:08 UTC,126,1.68,5.299999,337.12,24.375,1005.895
2017-06-30 10:39:28 UTC,127,2.9,7.25,333.6,24.375,1005.83
2017-06-30 10:39:48 UTC,128,3.9,7.25,334.24,24.375,1005.852
2017-06-30 10:40:08 UTC,129,3.9,7.25,334.88,24.3125,1005.8
2017-06-30 10:40:28 UTC,130,3.9,7.25,333.92,24.3125,1005.835
2017-06-30 10:40:48 UTC,131,3.9,7.25,336.8,24.3125,1005.847
2017-06-30 10:41:08 UTC,132,3.9,7.25,330.4,24.375,1005.872
2017-06-30 10:41:28 UTC,133,1.68,4.299999,334.56,24.3125,1005.818
2017-06-30 10:41:48 UTC,134,3.9,7.25,334.24,24.3125,1005.823
2017-06-30 10:42:08 UTC,135,1.68,5.299999,337.76,24.375,1005.81
2017-06-30 10:42:28 UTC,136,2.9,7.25,334.88,24.3125,1005.798
2017-06-30 10:42:48 UTC,137,3.9,8.25,332.32,24.3125,1005.823
2017-06-30 10:43:08 UTC,138,1.68,5.299999,332.64,24.3125,1005.762
